urinate URINATE
urinte  URINATE
weight  WEIGHT_LOSS
loss WEIGHT_LOSS
loss    WEIGHT_LOSS
weight WEIGHT_LOSS
thirsty  THIRSTY
tired   TIRED
Hi  O
Doctor  O
,   O
Last    O
few O
days    O
feel    O
thirsty  THIRSTY
every   O
time    O
.   O
even    O
I   O
had O
more    O
water   O
I   O
feel    O
tired   TIRED
without O
doing   O
anything    O
.   O
I   O
need    O
to  O
make    O
a   O
appointment  O
for O
a   O
doctor  O
.   O
I   0
feel    0
thirsty THIRSTY
.   0
I   0
had 0
thirsty THIRSTY
and 0
tired   TIRED
.   0
I   0
feel    0
thirsty THIRSTY
everytime   0
.   0
I   0
feel    0
tired   TIRED
.   0
tired   TIRED
.   0
tired   TIRED
.   0
thirsty   THIRSTY
.   0
I   0
feel    0
thirsty THIRSTY
